BOLD Process-ID	MUSIT no with prefix	Vitenskapelig navn i BOLD	sekvenslengde	Validert vitenskapelig navn etter strekkoding	valideringsmetode	Ekspert
NOBAS5413-18	O-F-165784	Clitopaxillus fibulatus	682[0n]	Validert	unite	Pablo Alvarado
NOBAS5414-18	O-F-167501	Clitopaxillus fibulatus	682[0n]	Validert	unite	Pablo Alvarado
NOBAS5461-18	O-F-301421	Clitocybe leucodiatreta	680[0n]	Validert	unite	Karl-Henrik Larsson
NOBAS5451-18	O-F-301206	Clitocybe strigosa	685[0n]	Validert	unite, ekspert	Pablo Alvarado
NOBAS5473-18	O-F-304975	Clitopilus sp.	680[1n]			Pablo Alvarado
NOBAS5416-18	O-F-175201	Collybia macilenta	775			Karl-Henrik Larsson
NOBAS5457-18	O-F-301259	Conocybe macrospora	687[0n]	Validert	unite	Karl-Henrik Larsson
NOBAS5456-18	O-F-301256	Conocybe sp.	668			Karl-Henrik Larsson
NOBAS5428-18	O-F-294207	Coprinus aquatilis	691[0n]	Validert	unite, dendrogram	Karl-Henrik Larsson
NOBAS5427-18	O-F-292313	Coprinus comatus	665[0n]	Validert	unite	Karl-Henrik Larsson
NOBAS5469-18	O-F-304904	Cystoderma tuomikoskii	730[0n]	Validert	unite	Karl-Henrik Larsson
NOBAS5452-18	O-F-301219	Cystodermella sp.	668			Karl-Henrik Larsson
NOBAS5475-18	O-F-304991	Deconica crobula	641[1n]	Validert	unite	Karl-Henrik Larsson
NOBAS5472-18	O-F-76190	Echinoderma sp.	0[n]			
NOBAS5477-18	O-F-76194	Echinoderma aspera	738[0n]			Karl-Henrik Larsson
NOBAS5415-18	O-F-169080	Entoloma aprile	678[0n]	Validert	ekspert	Balint Dima
NOBAS5406-18	O-F-61545	Entoloma lividocyanulum	624[1n]	Validert	ekspert	Balint Dima
NOBAS6268-18	O-F-72621	Hohenbuehelia panelloides	695[20n]	Validert	unite	
NOBAS6668-19	TROM_F_232	Atractosporocybe polaris	668[0n]	Validert	unite	
NOBAS6669-19	TROM_F_281	Armillaria borealis	413[0n]	Validert	unite	
NOBAS6670-19	TROM_F_296	Boletus edulis	754[0n]	Validert	unite	
NOBAS6671-19	TROM_F_371	Amanita sp.	575[0n]	Validert	unite, dendrogram	
NOBAS6672-19	TROM_F_680	Agaricus campestris	0[n]	no sequence		
NOBAS6673-19	TROM_F_727	Agaricus sylvaticus	0[n]	no sequence		
NOBAS6674-19	TROM_F_728	Agaricus macrocarpus	0[n]			
NOBAS6675-19	TROM_F_1317	Atractosporocybe sp.	668[2n]			
NOBAS6676-19	TROM_F_2754	Hypoxylon macrosporum	0[n]			
NOBAS6677-19	TROM_F_6553	Xerocomus badius	0[n]			
NOBAS6678-19	TROM_F_7045	Agaricus impudicus	0[n]			
NOBAS6679-19	TROM_F_8194	Amanita nivalis	0[n]			
NOBAS6680-19	TROM_F_8302	Agrocybe sp.	599[1n]			
NOBAS6681-19	TROM_F_8426	Amanita nivalis	0[n]			
NOBAS6682-19	TROM_F_9466	Agaricus semotus	0[n]			
NOBAS6683-19	TROM_F_9608	Validert dendrogram, indirekte ekspert	698[0n]	Validert	dendrogram, indirekte ekspert	
NOBAS6684-19	TROM_F_9650	Agaricus sp.	688[1n]			
NOBAS6685-19	TROM_F_12533	Amanita porphyria	0[n]			
NOBAS6686-19	TROM_F_12926	Agaricus sylvaticus	0[n]	no sequence		
NOBAS6687-19	TROM_F_13086	Agaricus sp.	745[0n]			
NOBAS6688-19	TROM_F_13128	Arrhenia sp.	657[0n]			
NOBAS6689-19	TROM_F_22010	Xerocomus subtomentosus	695[2n]			
NOBAS6690-19	TROM_F_22537	Amanita nivalis	575[0n]	Validert	unite, dendrogram	
NOBAS6691-19	TROM_F_22616	Agaricus sylvaticus	0[n]	no sequence		
NOBAS6692-19	TROM_F_22655	Leptoglossum acerosum	0[n]			
NOBAS6693-19	TROM_F_22694	Agaricus porphyrizon	605[9n]	Validert	unite	
NOBAS6694-19	TROM_F_22978	Arrhenia spathulata	0[n]			
NOBAS6695-19	TROM_F_23602	Arrhenia lobata	636[0n]	Validert	unite	
NOBAS6696-19	TROM_F_24073	Pholiota praecox	0[n]			
NOBAS6697-19	TROM_F_24077	Arrhenia auriscalpium	0[n]			
NOBAS6698-19	TROM_F_24245	Arrhenia sp.	625[0n]			
NOBAS6699-19	TROM_F_24315	Arrhenia lobata	0[n]			
NOBAS6700-19	TROM_F_30726	Boletus luridus	719[1n]	Validert	unite	
NOBAS6701-19	TROM_F_30776	Boletus edulis	754[0n]	Validert	unite	
NOBAS6702-19	TROM_F_33224	Arrhenia retiruga	0[n]			
NOBAS6703-19	TROM_F_33225	Arrhenia retiruga	0[n]			
NOBAS6704-19	TROM_F_33587	Xerocomus sp.	725[0n]	Validert	unite, dendrogram	
NOBAS6705-19	TROM_F_36121	Agrocybe praecox	636[1n]	Validert	unite, dendrogram	
NOBAS6706-19	TROM_F_37681	Amanita sp.	657[0n]			
NOBAS6707-19	TROM_F_37854	Amanita sp.	493[0n]			
NOBAS6708-19	TROM_F_37878	Agaricus aristocratus	743[1n]	Validert	dendrogram, type	
NOBAS6709-19	TROM_F_38151	Arrhenia auriscalpium	657[0n]	VAlidert	unite	
NOBAS6710-19	TROM_F_38334	Agaricus sp.	685[0n]			
NOBAS6711-19	TROM_F_39256	Agaricus porphyrizon	0[n]			
NOBAS6712-19	TROM_F_39735	Arrhenia sp.	658[0n]			
NOBAS6713-19	TROM_F_41591	Boletus pallidus	560[9n]			
NOBAS6714-19	TROM_F_630109	Xerocomus chrysenteron	695[1n]			
NOBAS6715-19	20325-1	Pholiota sp.	666[3n]			
NOBAS6716-19	20325-2	Entoloma infula	674[0n]	Validert	ekspert	Balint Dima
NOBAS6717-19	20325-3	Entoloma	491[2n]		ekspert	Balint Dima
NOBAS6718-19	20325-4	Entoloma sericeum	682[0n]	Validert	ekspert	Balint Dima
NOBAS6719-19	20325-5	Entoloma paragaudatum	843[1n]	Validert	ekspert	Balint Dima
NOBAS6720-19	20325-6	Entoloma paragaudatum	842[2n]	Validert	ekspert	Balint Dima
NOBAS6721-19	20325-7	Hygrocybe sp.	703[0n]			
NOBAS6722-19	20325-8	Exidia sp.	590[4n]	Validert	unite, dendrogram	
NOBAS6723-19	20325-9	Clavulina cinerea	691[0n]	Validert	unite	
NOBAS6724-19	20325-10	Cortinarius	657[0n]			
NOBAS6725-19	20325-11	Agaricales	416[2n]			
NOBAS6726-19	20325-12	Mycena niveipes	686[1n]	Validert	ekspert	Arne Aronsen
NOBAS6727-19	20325-13	Hygrocybe acutoconica	689[0n]			
NOBAS6728-19	20325-14	Hygrocybe	720[1n]			
NOBAS6729-19	20325-15	Entoloma	660[1n]	Validert	ekspert	Balint Dima
NOBAS6730-19	20325-16	Gamundia striatula	667[0n]	Validert	ekspert	Balint Dima
NOBAS6731-19	20325-17	Gamundia striatula	667[0n]	Validert	ekspert	Balint Dima
NOBAS6732-19	20325-18	Clavariaceae	685[0n]		unite	
NOBAS6733-19	20325-19	Agaricales	701[0n]		unite	
NOBAS6734-19	20325-20	Clavariaceae	647[0n]			
NOBAS6735-19	20325-21	Cytidia salicina	360[2n]	Validert	unite	
NOBAS6736-19	20325-22	Hymenoscyphus virgultorum	546[7n]			
NOBAS6737-19	20325-23	Mycena galericulata	461[2n]	Validert	ekspert	Arne Aronsen
NOBAS6738-19	20325-24	Hygrophoropsis sp.	620[0n]			
NOBAS6739-19	20325-25	Cortinarius bataillei	680[0n]			
NOBAS6740-19	20325-26	Geoglossum montanum	1067[0n]			
NOBAS6741-19	20325-27	Entoloma neglectum	677[2n]	Validert	ekspert	Balint Dima
NOBAS6742-19	20325-28	Helvella palustris	0[n]			
NOBAS6743-19	20325-29	Trichaptum sp.	688[1n]			
NOBAS6744-19	20325-30	Lycoperdon	278[0n]		unite, dendrogram	
NOBAS6745-19	20325-31	Inocybe impexa	679[0n]	Validert	unite	
NOBAS6746-19	20325-32	Cytidiella albomellea	632[0n]	Validert	unite	
NOBAS6747-19	20325-33	Inocybe splendens phaeoleuca	702[0n]			
NOBAS6748-19	20325-34	Xeromphalina sp.	492[0n]			
NOBAS6749-19	20325-35	Inocybe fraudans	630[0n]			
NOBAS6750-19	20325-36	Phlebia nitidula	633[0n]	Validert	unite	
NOBAS6751-19	20325-37	Entoloma porphyrogriseum	725[0n]	Validert	ekspert	Balint Dima
NOBAS6752-19	20325-38	Russula font-queri	670[0n]	Validert	unite, dendrogram	
NOBAS6753-19	20325-39	Helvella palustris	0[n]			
NOBAS6754-19	20325-40	Otidea alutacea	650[0n]	Validert	unite	
NOBAS6755-19	20325-41	Clavulinopsis sp.	627[0n]			
NOBAS6756-19	20325-42	Inocybe	0[n]			
NOBAS6757-19	20325-43	Melanoleuca polioleuca	706[0n]			
NOBAS6758-19	20325-44	Spathularia flavida	529[0n]	Validert	unite	
NOBAS7138-19	TROM_F_31118	Fayodia bisphaerigera	680[1n]	Validert	unite	
NOBAS7139-19	TROM_F_22748	Amanita sp.	588[0n]	Validert	unite, dendrogram	
NOBAS7140-19	20325-45	Agaricales	715[0n]		unite	
NOBAS7141-19	20325-46	Agaricomycetes	658[4n]			
NOBAS7142-19	20325-47	Agaricomycetes	0[n]			
NOBAS7143-19	TROM_F_367	Mycena laevigata	743[1n]	Validert	dendrogram	
NOBAS7144-19	TROM_F_551	Mycena pelianthina	688[1n]	Validert	dendrogram	
NOBAS7145-19	TROM_F_553	Mycena pelianthina	688[0n]	Validert	dendrogram	
NOBAS7146-19	TROM_F_581	Mycena arcangeliana	715			
NOBAS7147-19	TROM_F_635	Mycena pura	682[1n]	Validert	ekspert	Arne Aronsen
NOBAS7148-19	TROM_F_2794	Mycena filopes	676[0n]	Validert	ekspert	Arne Aronsen
NOBAS7149-19	TROM_F_5691	Mycena sp.	638[0n]	Validert	ekspert	Arne Aronsen
NOBAS7150-19	TROM_F_5692	Mycena sp.	602[12n]	Validert	ekspert	Arne Aronsen
NOBAS7151-19	TROM_F_6661	Atheniella adonis	711[0n]	Validert	ekspert	Arne Aronsen
NOBAS7152-19	TROM_F_7559	Hemimycena delectabilis	670[0n]	Validert	ekspert	Arne Aronsen
NOBAS7153-19	TROM_F_8537	Mycena niveipes	0[n]	no sequence		
NOBAS7154-19	TROM_F_8542	Mycena algeriensis	689[0n]	Validert	ekspert	Arne Aronsen
NOBAS7155-19	TROM_F_8563	Mycena clavicularis	696[3n]	Validert	unite	
NOBAS7156-19	TROM_F_8739	Mycena clavicularis	0	Contamination		
NOBAS7157-19	TROM_F_8836	Mycena metata	0	Contamination		
NOBAS7158-19	TROM_F_9023	Mycena clavicularis	695[0n]	Validert	unite	
NOBAS7159-19	TROM_F_9165	Mycena haematopus	605[4n]	Validert	dendrogram	
NOBAS7160-19	TROM_F_9166	Mycena simia	677[0n]	Validert	ekspert	Arne Aronsen
NOBAS7161-19	TROM_F_9383	Mycena epipterygia	0	Kontaminering		Arne Aronsen
NOBAS7162-19	TROM_F_9393	Mycena megaspora	0	no sequence		
NOBAS7163-19	TROM_F_9916	Mycena haematopus	593[2n]	Validert	dendrogram	
NOBAS7164-19	TROM_F_10063	Mycena niveipes	619[3n]	Validert	dendrogram	
NOBAS7165-19	TROM_F_11783	Mycena tintinnabulum	688[0n]	Validert	ekspert	Arne Aronsen
NOBAS7166-19	TROM_F_12733	Mycena amicta	0[n]	no sequence		
NOBAS7167-19	TROM_F_12889	Mycena niveipes	690[2n]	Validert	dendrogram	
NOBAS7168-19	TROM_F_12918	Roridomyces roridus	0[n]			
NOBAS7169-19	TROM_F_13172	Mycena filopes	0[n]	no sequence		
NOBAS7170-19	TROM_F_16199	Mycena viscosa	663[2n]	Validert	dendrogram, ekspert	Arne Aronsen
NOBAS7171-19	TROM_F_16864	Mycena pterigena	711[0n]	Validert	dendrogram	
NOBAS7172-19	TROM_F_16869	Mycena lohwagii	713[0n]	Validert	ekspert	Arne Aronsen
NOBAS7173-19	TROM_F_18338	Atheniella flavoalba	136[1n]	Validert	unite	
NOBAS7174-19	TROM_F_20089	Mycena pura	687[0n]	Validert	dendrogram	
NOBAS7175-19	TROM_F_20154	Mycena simia	675[0n]	Validert	ekspert	Arne Aronsen
NOBAS7176-19	TROM_F_20193	Mycena simia	675[0n]	Validert	ekspert	Arne Aronsen
NOBAS7177-19	TROM_F_21365	Mycena niveipes	665	Validert	dendrogram	
NOBAS7178-19	TROM_F_21509	Mycena sanguinolenta	715[0n]	Validert	ekspert	Arne Aronsen
NOBAS7179-19	TROM_F_22858	Atheniella adonis	713[0n]	Validert	ekspert	Arne Aronsen
NOBAS7180-19	TROM_F_23129	Hemimycena gracilis	675[0n]	Validert	ekspert	Arne Aronsen
NOBAS7181-19	TROM_F_23395	Mycena pura	615[0n]	Validert	dendrogram	
NOBAS7182-19	TROM_F_23405	Mycena metata	0[n]	no sequence		
NOBAS7183-19	TROM_F_33518	Mycena aetites	0[n]	no sequence		
NOBAS7184-19	TROM_F_33527	Mycena alcalina	0[n]	no sequence		
NOBAS7185-19	TROM_F_33546	Mycena amicta	605[3n]	Validert	dendrogram	
NOBAS7186-19	TROM_F_33547	Mycena galopus	684[0n]	Validert	ekspert	Arne Aronsen
NOBAS7187-19	TROM_F_33551	Mycena leptocephala	0[n]	no sequence		
NOBAS7188-19	TROM_F_33554	Hemimycena delectabilis	794[2n]	Validert	ekspert	Arne Aronsen
NOBAS7189-19	TROM_F_33558	Mycena sp.	472[1n]			
NOBAS7190-19	TROM_F_33560	Mycena cinerella	0	Kontaminering		Arne Aronsen
NOBAS7191-19	TROM_F_33561	Mycena citrinomarginata	695[0n]			
NOBAS7192-19	TROM_F_33584	Mycena capillaris	0[n]	no sequence		
NOBAS7193-19	TROM_F_33619	Mycena epipterygia var. badiceps	0			Arne Aronsen
NOBAS7194-19	TROM_F_33635	Mycena flavescens	0	Kontaminering?		Arne Aronsen
NOBAS7195-19	TROM_F_33641	Atheniella flavoalba	0	Contamination		Arne Aronsen
NOBAS7196-19	TROM_F_33657	Mycena galericulata	0[n]			
NOBAS7197-19	TROM_F_33659	Mycena galericulata	0[n]			
NOBAS7198-19	TROM_F_33719	Mycena galopus	0	Contamination		Arne Aronsen
NOBAS7199-19	TROM_F_33728	Hemimycena gracilis	675[0n]	Validert	ekspert	Arne Aronsen
NOBAS7200-19	TROM_F_33729	Mycena abramsii	686[0n]	Validert	ekspert	Arne Aronsen
NOBAS7201-19	TROM_F_33756	Mycena arcangeliana	715	Validert	ekspert	Arne Aronsen
NOBAS7202-19	TROM_F_33757	Mycena arcangeliana	715[0n]	Validert	ekspert	Arne Aronsen
NOBAS7203-19	TROM_F_33758	Mycena hemisphaerica	715			
NOBAS7204-19	TROM_F_33759	Phloeomana hiemalis	0[n]	no sequence		
NOBAS7205-19	TROM_F_33760	Mycena inclinata	0[n]	no sequence		
NOBAS7206-19	TROM_F_33761	Mycena inclinata	0[n]	no sequence		
NOBAS7207-19	TROM_F_33762	Mycena inclinata	0	no sequence		
NOBAS7208-19	TROM_F_33763	Mycena laevigata	0[n]	no sequence		
NOBAS7209-19	TROM_F_33766	Mycenella bryophila	672[0n]	Validert	ekspert	Arne Aronsen
NOBAS7210-19	TROM_F_33779	Mycena egregia	0	Contamination		
NOBAS7211-19	TROM_F_33796	Mycena pseudogrisella	0[n]	no sequence		
NOBAS7212-19	TROM_F_33797	Mycena pseudogrisella	0[n]	no sequence		
NOBAS7213-19	TROM_F_33817	Mycena pura	639	Validert	dendrogram	
NOBAS7214-19	TROM_F_33875	Mycena galericulata	0[n]			
NOBAS7215-19	TROM_F_33876	Mycena galericulata	0[n]			
NOBAS7216-19	TROM_F_33879	Roridomyces roridus	0[n]			
NOBAS7217-19	TROM_F_33887	Atheniella adonis var. coccinea	0[n]			
NOBAS7218-19	TROM_F_33888	Mycena rubromarginata	0[n]			
NOBAS7219-19	TROM_F_33891	Mycena rubromarginata	0[n]			
NOBAS7220-19	TROM_F_33896	Mycena sanguinolenta	0	Contamination		
NOBAS7221-19	TROM_F_33902	Phloeomana speirea	0[n]	no sequence		
NOBAS7222-19	TROM_F_33906	Mycena plumipes	808[0n]	Validert	dendrogram	
NOBAS7223-19	TROM_F_33907	Mycena plumipes	0	Contamination		
NOBAS7224-19	TROM_F_33908	Mycena stylobates	0[n]	no sequence		
NOBAS7225-19	TROM_F_33909	Mycena tintinnabulum	0[n]	no sequence		
NOBAS7226-19	TROM_F_33912	Mycena viridimarginata	0[n]	no sequence		
NOBAS7227-19	TROM_F_33913	Mycena viridimarginata	0[n]	no sequence		
NOBAS7228-19	TROM_F_33915	Mycena viscosa	0[n]	no sequence		
NOBAS7229-19	TROM_F_33916	Mycena vitilis	674[3n]	Validert	dendrogram	
NOBAS7230-19	TROM_F_33917	Mycena vitilis	715[0n]	Validert	dendrogram	
NOBAS7231-19	TROM_F_33923	Mycena septentrionalis	0[n]	no sequence		
NOBAS7232-19	TROM_F_33924	Mycena septentrionalis	0[n]	no sequence		
NOBAS7233-19	TROM_F_39319	Mycena polygramma	691			
NOBAS7234-19	TROM_F_39670	Mycena niveipes	690[3n]	Validert	dendrogram	
NOBAS7235-19	TROM_F_41636	Mycena pullata	0[n]	no sequence		
NOBAS7236-19	TROM_F_26016	Atheniella adonis	673[0n]	Validert	ekspert	Arne Aronsen
NOBAS7702-19	O-F-256390	Peziza succosa	605[0n]	Validert	ekspert	Balint Dima
NOBAS7703-19	O-F-256392	Xenasmatella fibrillosa	0	kontaminering		
NOBAS7704-19	O-F-256402	Flammula alnicola	660[0n]	Validert	unite, ekspert	
NOBAS7705-19	O-F-256409	Clavulina coralloides	626[1n]	Validert	ekspert	Balint Dima
NOBAS7706-19	O-F-256412	Cantharellus amethysteus	709[0n]	Validert	unite, ekspert	Balint Dima
NOBAS7707-19	O-F-256417	Hygrocybe irrigata	637	no match		Balint Dima
NOBAS7708-19	O-F-256420	Tricholoma viridilutescens	646[0n]	Validert	unite, ekspert	Balint Dima
NOBAS7709-19	O-F-256436	Stereum hirsutum	596[0n]	Validert	ekspert	Balint Dima
NOBAS7710-19	O-F-256454	Cordyceps cf. militaris	676			
NOBAS7711-19	O-F-256459	Albatrellus ovinus	604	Validert	ekspert	Balint Dima
NOBAS7712-19	O-F-256464	Ramariopsis subtilis	432[1n]			Balint Dima
NOBAS7713-19	O-F-256471	Exidia thuretiana	585[0n]			Balint Dima
NOBAS7714-19	O-F-256499	Craterellus lutescens	592[0n]	Validert	unite	
NOBAS7715-19	O-F-292115	Entoloma euchroum	618[0n]	Validert	ekspert	Bálint Dima
NOBAS7716-19	O-F-65833	Entoloma euchroum	643[0n]	Validert	ekspert	Bálint Dima
NOBAS7717-19	O-F-296110	Entoloma excentricum	684[1n]	Validert	ekspert	Bálint Dima
NOBAS7718-19	O-F-293678	Entoloma porphyrocepahlum	657[0n]	Validert	ekspert	Bálint Dima
NOBAS7719-19	O-F-224283	Entoloma lividocyanulum	660	Validert	ekspert	Bálint Dima
NOBAS7720-19	O-F-287936	Entoloma asprellum	659	Validert	ekspert	Bálint Dima
NOBAS7721-19	O-F-177946	Entoloma montanum	646[0n]	Validert	ekspert	Bálint Dima
NOBAS7722-19	O-F-291304	Entoloma porphyrogriseum	687	Validert	ekspert	Bálint Dima
NOBAS7723-19	O-F-360220	Entoloma melanochroum	0[n]	no sequence		
NOBAS7724-19	O-F-177734	Entoloma xanthochroum	675[1n]	Validert	ekspert	Bálint Dima
NOBAS7725-19	O-F-188911	Entoloma sericellum	685[0n]	Validert	ekspert	Bálint Dima
NOBAS7726-19	O-F-61858	Entoloma lampropus	615[0n]	Validert	ekspert	Bálint Dima
NOBAS7727-19	O-F-61859	Entoloma allochroum	627[0n]	Validert	ekspert	Bálint Dima
NOBAS7728-19	O-F-72063	Entoloma infula	639[0n]	Validert	ekspert	Bálint Dima
NOBAS7729-19	O-F-223278	Entoloma pararhombisporum	656[0n]	Validert	ekspert	Bálint Dima
NOBAS7730-19	O-F-187955	Entoloma rhombisporum	664[0n]	Validert	ekspert	Bálint Dima
NOBAS7731-19	O-F-169850	Entoloma allospermum	642[0n]	Validert	ekspert	Bálint Dima
NOBAS7732-19	O-F-63453	Entoloma chamaeleontinum	647[0n]	Validert	ekspert	Bálint Dima
NOBAS7733-19	O-F-67470	Entoloma infula	599[1n]	Validert	ekspert	Bálint Dima
NOBAS7734-19	O-F-223795	Entoloma silva-frondosae	902[1n]	Validert	ekspert	Bálint Dima
NOBAS7735-19	O-F-223743	Entoloma sodale	636[0n]	Validert	ekspert	Bálint Dima
NOBAS7736-19	O-F-67433	Entoloma formosum	650[0n]	Validert	ekspert	Bálint Dima
NOBAS7737-19	O-F-240929	Entoloma viaregale	0[n]	no sequence		
NOBAS7738-19	O-F-294507	Entoloma sororpratulense	611[0n]	Validert	ekspert	Bálint Dima
NOBAS7739-19	O-F-187951	Entoloma pararhombisporum	656[0n]	Validert	ekspert	Bálint Dima
NOBAS7740-19	O-F-291191	Entoloma subcuboideum	570[1n]	Validert	ekspert	Bálint Dima
NOBAS7741-19	O-F-281299	Entoloma rhombisporoides	658[0n]	Validert	ekspert	Bálint Dima
NOBAS7742-19	O-F-281107	Entoloma insolitum	647[0n]	Validert	ekspert	Bálint Dima
NOBAS7743-19	O-F-291315	Entoloma calaminare	649[0n]	Validert	ekspert	Bálint Dima
NOBAS7744-19	O-F-72014	Hodophilus micaceus	551[0n]			
NOBAS7745-19	O-F-72114	Hodophilus micaceus	0[n]	no sequence		
NOBAS7746-19	O-F-242789	Hodophilus hymenocephalus	0[n]	no sequence		
NOBAS7747-19	O-F-76327	Lentinus sp.	673			
NOBAS7748-19	O-F-76301	Clitocybe sp.	622[0n]			
NOBAS7749-19	O-F-256661	Gymnopus sp.	701[0n]			
NOBAS7750-19	O-F-256662	Agrocybe rivulosa	599[0n]			
NOBAS7751-19	O-F-256663	Chroogomphus sp.	632[0n]			
NOBAS7752-19	O-F-256664	Galerina sphagnorum	505[0n]	Validert	unite	
NOBAS7753-19	O-F-256665	Tricholoma saponaceum	579[2n]	Validert	unite	
NOBAS7754-19	O-F-256666	Lyophyllum boudieri	639[0n]			
NOBAS7755-19	O-F-256667	Pholiota lucifera	622[0n]			
NOBAS7756-19	O-F-256668	Mycena vitilis	637[0n]	Validert	ekspert	Arne Aronsen
NOBAS7757-19	O-F-256669	Psathyrella sp.	601[0n]			
NOBAS7758-19	O-F-256670	Lyophyllum putidum	626[0n]			
NOBAS7759-19	O-F-256671	Lyophyllum boudieri	606[0n]			
NOBAS7760-19	O-F-256672	Russula renidens	663[0n]			
NOBAS7761-19	O-F-256673	Cortinarius fennoscandicus	643	Validert	ekspert	Balint Dima
NOBAS7762-19	O-F-256676	Sphagnomphalia brevibasidiata	621[0n]	Validert	unite	
NOBAS7763-19	O-F-256679	Cortinarius piceidisjungendus	538[0n]	Validert	ekspert	Balint Dima
NOBAS7764-19	O-F-256680	Tricholoma borgsjoeënse	630[0n]	Validert	unite	
NOBAS7765-19	O-F-256681	Lyophyllum fumosum	622[0n]			
NOBAS7766-19	O-F-256682	Cortinarius betulinus	620[0n]			Balint Dima
NOBAS7767-19	O-F-256683	Russula romellii	626[1n]			
NOBAS7768-19	O-F-256693	Entoloma nitidum	617[0n]	Validert	ekspert	Bálint Dima
NOBAS7769-19	O-F-256694	Lyophyllum aemiliae	638[0n]	Validert	unite	
NOBAS7770-19	O-F-256695	Lyophyllum aemiliae	639[1n]			
NOBAS7771-19	O-F-256696	Hygrophorus exiguus	507[0n]	Validert	unite	
NOBAS7772-19	O-F-256697	Agaricus sp.	601[0n]			
NOBAS7773-19	O-F-256698	Russula anthracina	634[0n]			
NOBAS7774-19	O-F-256699	Ramaria sp.	613[0n]			
NOBAS7775-19	O-F-256702	Cortinarius saniosus	559	Validert	ekspert	Balint Dima
NOBAS7776-19	O-F-256703	Pleurotus cornucopiae	598[1n]			
NOBAS7777-19	O-F-256704	Agrocybe sp.	634[0n]			
NOBAS7778-19	O-F-76302	Craterellus caeruleofuscus	858[0n]	Validert	unite	
NOBAS7779-19	O-F-76306	Cortinarius largus	644[0n]	Validert	ekspert	Balint Dima
NOBAS7780-19	O-F-76309	Craterellus caeruleofuscus	875[0n]	Validert	unite	
NOBAS7781-19	O-F-76308	Typhula sp.	715[0n]	Validert	unite	
NOBAS7782-19	O-F-76311	Mycena smithiana	672[0n]	Validert	ekspert	Arne Aronsen
NOBAS7783-19	O-F-76312	Mycena chlorantha	660[0n]	Validert	ekspert	Arne Aronsen
NOBAS7784-19	O-F-76313	Hydropus scabripes	609[0n]			
NOBAS7785-19	O-F-76314	Hemimycena pseudogibba	623[0n]			
NOBAS7786-19	O-F-76315	Mycena fagetorum	630[0n]	Validert	ekspert	Arne Aronsen
NOBAS7787-19	O-F-76316	Mycena septentrionalis	620[1n]	Validert	ekspert	Arne Aronsen
NOBAS7788-19	O-F-76317	Mycena pearsoniana	626[1n]	Validert	ekspert	Arne Aronsen
NOBAS7789-19	O-F-76318	Mycena pasvikensis	649[0n]	Validert	ekspert	Arne Aronsen
NOBAS7790-19	O-F-76319	Mycena arcangeliana	679[1n]	Validert	ekspert	Arne Aronsen
NOBAS7791-19	O-F-76320	Typhula quisquiliaris	0[n]	no sequence		
NOBAS7792-19	O-F-301868	Leccinum cyaneobasileucum	0[n]	no sequence		
NOBAS7793-19	O-F-302844	Leccinum cyaneobasileucum	0[n]	no sequence		
NOBAS7794-19	O-F-166659	Cortinarius fragrantior	636[1n]	Validert	ekspert	Balint Dima
NOBAS7795-19	O-F-167536	Cortinarius fragrantior	640[0n]	Validert	ekspert	Balint Dima
NOBAS7796-19	O-F-76325	Chlorophyllum brunneum	647[0n]	Validert	unite	
NOBAS7512-19	O-F-256297	Cortinarius largus	679[0n]	Validert	ekspert	Balint Dima
NOBAS7513-19	O-F-256299	Limacella vinosorubescens	719[0n]	Validert	unite	
NOBAS7514-19	O-F-256357	Entoloma melenosmum	901[0n]	Validert	ekspert	Balint Dima
NOBAS7515-19	O-F-256328	Russula vesca	680[1n]	Validert	unite, dendrogram	
NOBAS7516-19	O-F-256308	Chroogomphus mediterraneus	716[2n]	Validert	unite, Martín et al.	
NOBAS7517-19	O-F-256326	Cortinarius elatior	688[0n]	Validert	ekspert	Balint Dima
NOBAS7518-19	O-F-256338	Entoloma luteobasis	656[0n]	Validert	ekspert	Balint Dima
NOBAS7519-19	O-F-256496	Helvella nigra	0[n]			
NOBAS7520-19	O-F-256497	Helvella cf. monachella	0[n]			
NOBAS7521-19	O-F-256498	Amanita vaginata var. alba	589[0n]	Validert	ekspert	
NOBAS7522-19	O-F-256311	Cortinarius cruentipellis	611[0n]	Validert	ekspert	Balint Dima
NOBAS7523-19	O-F-256379	Cantharellula umbonata	702[2n]	Validert	unite	
NOBAS7524-19	O-F-256364	Cortinarius subpurpurascens	676[0n]	Validert	ekspert	Balint Dima
NOBAS7525-19	O-F-256367	Mycena latifolia	698[1n]	Validert	unite	
NOBAS7526-19	O-F-256321	Leotia lubrica	0[n]			
NOBAS7527-19	O-F-256342	Lactarius chrysorrheus	735[4n]	Validert	unite	
NOBAS7528-19	O-F-256353	Entoloma linkii	711[0n]	Validert	ekspert	Balint Dima
NOBAS7529-19	O-F-256360	Cortinarius sphagnophilus	631[0n]	Validert	ekspert	Balint Dima
NOBAS7530-19	O-F-256380	Leccinum vulpinum	0[n]			
NOBAS7531-19	O-F-256368	Mycena rubromarginata	684[0n]	Validert	unite	
NOBAS7532-19	O-F-256365	Xerocomus subtomentosus	717[0n]	Validert	unite	
NOBAS7533-19	O-F-256373	Russula sp.	699[0n]			Per Marstad
NOBAS7534-19	O-F-256370	Russula grisescens	604[0n]	Validert	unite	
NOBAS7535-19	O-F-256315	Lactarius pterosporus	694[0n]	Validert	unite	
